2025-07-26 19:45:24,933 — ERROR — 106479986 - Extraction failed: time data '' does not match format '%d-%m-%Y'
2025-07-26 19:45:24,973 — ERROR — 106479979 - Extraction failed: time data '' does not match format '%d-%m-%Y'
2025-07-26 19:45:25,401 — ERROR — 106479980 - Extraction failed: time data '' does not match format '%d-%m-%Y'
2025-07-26 19:59:04,407 — ERROR — 106479979 - Extraction failed: time data '' does not match format '%d-%m-%Y'
2025-07-26 19:59:04,619 — ERROR — 106479986 - Extraction failed: time data '' does not match format '%d-%m-%Y'
2025-07-26 19:59:05,111 — ERROR — 106479980 - Extraction failed: time data '' does not match format '%d-%m-%Y'
2025-07-26 21:15:38,149 — ERROR — 106479979 - Extraction failed: time data '' does not match format '%d-%m-%Y'
2025-07-26 21:15:38,848 — ERROR — 106479986 - Extraction failed: time data '' does not match format '%d-%m-%Y'
2025-07-26 21:15:39,406 — ERROR — 106479980 - Extraction failed: time data '' does not match format '%d-%m-%Y'
2025-07-26 21:28:17,994 — ERROR — 106479979 - Extraction failed: time data '' does not match format '%d-%m-%Y'
2025-07-26 21:28:18,133 — ERROR — 106479986 - Extraction failed: time data '' does not match format '%d-%m-%Y'
2025-07-26 21:28:18,549 — ERROR — 106479980 - Extraction failed: time data '' does not match format '%d-%m-%Y'
2025-07-26 22:18:24,046 — ERROR — 106479979 - Extraction failed: time data '' does not match format '%d-%m-%Y'
2025-07-26 22:18:24,405 — ERROR — 106479986 - Extraction failed: time data '' does not match format '%d-%m-%Y'
2025-07-26 22:18:24,834 — ERROR — 106479980 - Extraction failed: time data '' does not match format '%d-%m-%Y'
2025-07-27 12:12:25,113 — ERROR — 106479979 - Extraction failed: time data '' does not match format '%d-%m-%Y'
2025-07-27 12:12:25,415 — ERROR — 106479986 - Extraction failed: time data '' does not match format '%d-%m-%Y'
2025-07-27 12:12:25,868 — ERROR — 106479980 - Extraction failed: time data '' does not match format '%d-%m-%Y'
2025-07-27 12:17:44,303 — ERROR — 106479979 - Extraction failed: time data '' does not match format '%d-%m-%Y'
2025-07-27 12:17:44,420 — ERROR — 106479986 - Extraction failed: time data '' does not match format '%d-%m-%Y'
2025-07-27 12:17:45,084 — ERROR — 106479980 - Extraction failed: time data '' does not match format '%d-%m-%Y'
2025-07-27 12:20:19,971 — ERROR — 106479986 - Extraction failed: time data '' does not match format '%d-%m-%Y'
2025-07-27 12:20:20,006 — ERROR — 106479979 - Extraction failed: time data '' does not match format '%d-%m-%Y'
2025-07-27 12:20:20,546 — ERROR — 106479980 - Extraction failed: time data '' does not match format '%d-%m-%Y'
2025-07-27 12:22:00,672 — ERROR — 106479979 - Extraction failed: time data '' does not match format '%d-%m-%Y'
2025-07-27 12:22:00,720 — ERROR — 106479986 - Extraction failed: time data '' does not match format '%d-%m-%Y'
2025-07-27 12:22:01,040 — ERROR — 106479980 - Extraction failed: time data '' does not match format '%d-%m-%Y'
2025-07-27 12:28:39,697 — ERROR — 106479979 - Extraction failed: time data '' does not match format '%d-%m-%Y'
2025-07-27 12:28:40,772 — ERROR — 106479986 - Extraction failed: time data '' does not match format '%d-%m-%Y'
2025-07-27 12:28:41,017 — ERROR — 106479980 - Extraction failed: time data '' does not match format '%d-%m-%Y'
2025-07-27 15:39:48,907 — ERROR — 106479983 - Extraction failed: cannot access local variable 're' where it is not associated with a value
2025-07-27 15:39:48,976 — ERROR — 106479986 - Extraction failed: cannot access local variable 're' where it is not associated with a value
2025-07-27 15:39:48,982 — ERROR — 106479979 - Extraction failed: cannot access local variable 're' where it is not associated with a value
2025-07-27 15:39:49,180 — ERROR — 106479980 - Extraction failed: cannot access local variable 're' where it is not associated with a value
2025-07-27 17:44:16,320 — ERROR — 106479979 - Extraction failed: name 'escaped_pin_code' is not defined
2025-07-27 17:44:16,358 — ERROR — 106479986 - Extraction failed: name 'escaped_pin_code' is not defined
2025-07-27 17:44:16,359 — ERROR — 106479983 - Extraction failed: name 'escaped_pin_code' is not defined
2025-07-27 17:44:16,737 — ERROR — 106479980 - Extraction failed: name 'escaped_pin_code' is not defined
2025-07-27 18:40:18,093 — ERROR — 106479979 - Extraction failed: 'PDFExtractorSegment2' object has no attribute '_extract_authorized_address'
2025-07-27 18:40:18,188 — ERROR — 106479986 - Extraction failed: 'PDFExtractorSegment2' object has no attribute '_extract_authorized_address'
2025-07-27 18:40:18,205 — ERROR — 106479983 - Extraction failed: 'PDFExtractorSegment2' object has no attribute '_extract_authorized_address'
2025-07-27 18:40:18,731 — ERROR — 106479980 - Extraction failed: 'PDFExtractorSegment2' object has no attribute '_extract_authorized_address'
2025-07-27 19:41:01,589 — WARNING — Connection pool is full, discarding connection: foscos.fssai.gov.in. Connection pool size: 10
2025-07-27 19:41:01,950 — WARNING — Connection pool is full, discarding connection: foscos.fssai.gov.in. Connection pool size: 10
2025-07-27 19:41:02,112 — WARNING — Connection pool is full, discarding connection: foscos.fssai.gov.in. Connection pool size: 10
2025-07-27 19:41:02,406 — WARNING — Connection pool is full, discarding connection: foscos.fssai.gov.in. Connection pool size: 10
2025-07-27 19:41:02,962 — WARNING — Connection pool is full, discarding connection: foscos.fssai.gov.in. Connection pool size: 10
2025-07-27 19:41:03,056 — WARNING — Connection pool is full, discarding connection: foscos.fssai.gov.in. Connection pool size: 10
2025-07-27 19:41:03,355 — WARNING — Connection pool is full, discarding connection: foscos.fssai.gov.in. Connection pool size: 10
2025-07-27 19:41:03,521 — WARNING — Connection pool is full, discarding connection: foscos.fssai.gov.in. Connection pool size: 10
2025-07-27 19:41:03,971 — WARNING — Connection pool is full, discarding connection: foscos.fssai.gov.in. Connection pool size: 10
2025-07-27 19:41:04,215 — WARNING — Connection pool is full, discarding connection: foscos.fssai.gov.in. Connection pool size: 10
2025-07-27 19:41:05,238 — WARNING — Connection pool is full, discarding connection: foscos.fssai.gov.in. Connection pool size: 10
2025-07-27 19:41:05,767 — WARNING — Connection pool is full, discarding connection: foscos.fssai.gov.in. Connection pool size: 10
2025-07-27 19:41:08,363 — WARNING — Connection pool is full, discarding connection: foscos.fssai.gov.in. Connection pool size: 10
2025-07-27 19:41:09,696 — WARNING — Connection pool is full, discarding connection: foscos.fssai.gov.in. Connection pool size: 10
2025-07-27 19:41:10,477 — WARNING — Connection pool is full, discarding connection: foscos.fssai.gov.in. Connection pool size: 10
2025-07-27 19:45:48,456 — WARNING — Connection pool is full, discarding connection: foscos.fssai.gov.in. Connection pool size: 10
2025-07-27 19:45:48,560 — WARNING — Connection pool is full, discarding connection: foscos.fssai.gov.in. Connection pool size: 10
2025-07-27 19:45:48,676 — WARNING — Connection pool is full, discarding connection: foscos.fssai.gov.in. Connection pool size: 10
2025-07-27 19:45:49,163 — WARNING — Connection pool is full, discarding connection: foscos.fssai.gov.in. Connection pool size: 10
2025-07-27 19:45:49,711 — WARNING — Connection pool is full, discarding connection: foscos.fssai.gov.in. Connection pool size: 10
2025-07-27 19:45:51,168 — WARNING — Connection pool is full, discarding connection: foscos.fssai.gov.in. Connection pool size: 10
2025-07-27 19:45:52,051 — WARNING — Connection pool is full, discarding connection: foscos.fssai.gov.in. Connection pool size: 10
2025-07-27 19:45:52,802 — WARNING — Connection pool is full, discarding connection: foscos.fssai.gov.in. Connection pool size: 10
2025-07-27 19:45:53,208 — WARNING — Connection pool is full, discarding connection: foscos.fssai.gov.in. Connection pool size: 10
2025-07-27 19:45:54,074 — WARNING — Connection pool is full, discarding connection: foscos.fssai.gov.in. Connection pool size: 10
2025-07-27 19:45:54,734 — WARNING — Connection pool is full, discarding connection: foscos.fssai.gov.in. Connection pool size: 10
2025-07-27 19:45:55,219 — WARNING — Connection pool is full, discarding connection: foscos.fssai.gov.in. Connection pool size: 10
2025-07-27 19:45:56,031 — WARNING — Connection pool is full, discarding connection: foscos.fssai.gov.in. Connection pool size: 10
2025-07-27 19:45:56,719 — WARNING — Connection pool is full, discarding connection: foscos.fssai.gov.in. Connection pool size: 10
2025-07-27 19:45:57,955 — WARNING — Connection pool is full, discarding connection: foscos.fssai.gov.in. Connection pool size: 10
2025-07-27 20:52:14,224 — WARNING — Connection pool is full, discarding connection: foscos.fssai.gov.in. Connection pool size: 10
2025-07-27 20:52:14,276 — WARNING — Connection pool is full, discarding connection: foscos.fssai.gov.in. Connection pool size: 10
2025-07-27 20:52:14,860 — WARNING — Connection pool is full, discarding connection: foscos.fssai.gov.in. Connection pool size: 10
2025-07-27 20:52:15,326 — WARNING — Connection pool is full, discarding connection: foscos.fssai.gov.in. Connection pool size: 10
2025-07-27 20:52:16,560 — WARNING — Connection pool is full, discarding connection: foscos.fssai.gov.in. Connection pool size: 10
2025-07-27 20:52:16,602 — WARNING — Connection pool is full, discarding connection: foscos.fssai.gov.in. Connection pool size: 10
2025-07-27 20:52:17,161 — WARNING — Connection pool is full, discarding connection: foscos.fssai.gov.in. Connection pool size: 10
2025-07-27 20:52:17,690 — WARNING — Connection pool is full, discarding connection: foscos.fssai.gov.in. Connection pool size: 10
2025-07-27 20:52:18,001 — WARNING — Connection pool is full, discarding connection: foscos.fssai.gov.in. Connection pool size: 10
